name
エネルギー（kcal）
エネルギー（kJ)
水   分
たんぱく質
アミノ酸組成によるたんぱく質
脂   質
トリアシルグリセロール当量
飽和脂肪酸
一価不飽和脂肪酸
多価不飽和脂肪酸
コレステロール
炭水化物
利用可能炭水化物（単糖当量）
水溶性食物繊維
不溶性食物繊維
食物繊維総量
灰   分
ナトリウム
カリウム
カルシウム
マグネシウム
リン
鉄
亜鉛
銅
マンガン
ヨウ素
セレン
クロム
モリブデン
レチノール
α-カロテン
β-カロテン
β-クリプトキサンチン
β-カロテン当量
レチノール活性当量
ビタミンD
α-トコフェロール
β-トコフェロール
γ-トコフェロール
δ-トコフェロール
ビタミンK
ビタミンB1
ビタミンB2
ナイアシン
ビタミンB6
ビタミンB12
葉酸
パントテン酸
ビオチン
ビタミンC
食塩相当量
アルコール
硝酸イオン
テオブロミン
カフェイン
タンニン
ポリフェノール
酢酸
調理油
有機酸
